,days,dow,rank,daily,theaters,special events
0,2016-02-12,Friday,1,47335592.0,3558,nan
1,2016-02-13,Saturday,1,42508025.0,3558,nan
2,2016-02-14,Sunday,1,42591022.0,3558,nan
3,2016-02-15,Monday,1,19759214.0,3558,Presidents' Day
4,2016-02-16,Tuesday,1,11559606.0,3558,nan
5,2016-02-17,Wednesday,1,8617589.0,3558,nan
6,2016-02-18,Thursday,1,8023839.0,3558,nan
7,2016-02-19,Friday,1,16218008.0,3722,nan
8,2016-02-20,Saturday,1,24291774.0,3722,nan
9,2016-02-21,Sunday,1,15960385.0,3722,nan
10,2016-02-22,Monday,1,4465513.0,3722,nan
11,2016-02-23,Tuesday,1,5158806.0,3722,nan
12,2016-02-24,Wednesday,1,3795775.0,3722,nan
13,2016-02-25,Thursday,1,3853861.0,3722,nan
14,2016-02-26,Friday,1,8879279.0,3856,nan
15,2016-02-27,Saturday,1,14160782.0,3856,nan
16,2016-02-28,Sunday,1,8075134.0,3856,nan
17,2016-02-29,Monday,1,2330907.0,3856,nan
18,2016-03-01,Tuesday,1,2854596.0,3856,nan
19,2016-03-02,Wednesday,1,2214542.0,3856,nan
20,2016-03-03,Thursday,1,2103883.0,3856,nan
21,2016-03-04,Friday,3,4692682.0,3624,nan
22,2016-03-05,Saturday,3,7340320.0,3624,nan
23,2016-03-06,Sunday,3,4692927.0,3624,nan
24,2016-03-07,Monday,3,1428068.0,3624,nan
25,2016-03-08,Tuesday,3,1672043.0,3624,nan
26,2016-03-09,Wednesday,3,1331389.0,3624,nan
27,2016-03-10,Thursday,2,1361864.0,3624,nan
28,2016-03-11,Friday,4,3001621.0,3331,nan
29,2016-03-12,Saturday,3,4829679.0,3331,nan
30,2016-03-13,Sunday,3,3111004.0,3331,nan
31,2016-03-14,Monday,3,1178003.0,3331,nan
32,2016-03-15,Tuesday,3,1406236.0,3331,nan
33,2016-03-16,Wednesday,4,1117091.0,3331,nan
34,2016-03-17,Thursday,4,1020324.0,3331,nan
35,2016-03-18,Friday,5,2254327.0,2924,nan
36,2016-03-19,Saturday,5,3547145.0,2924,nan
37,2016-03-20,Sunday,5,2210512.0,2924,nan
38,2016-03-21,Monday,5,865298.0,2924,nan
39,2016-03-22,Tuesday,5,989196.0,2924,nan
40,2016-03-23,Wednesday,5,839189.0,2924,nan
41,2016-03-24,Thursday,5,826916.0,2924,nan
42,2016-03-25,Friday,7,1710989.0,2336,nan
43,2016-03-26,Saturday,7,1961432.0,2336,nan
44,2016-03-27,Sunday,7,1225520.0,2336,Easter Sunday
45,2016-03-28,Monday,7,627463.0,2336,nan
46,2016-03-29,Tuesday,7,576309.0,2336,nan
47,2016-03-30,Wednesday,7,500516.0,2336,nan
48,2016-03-31,Thursday,7,532739.0,2336,nan
49,2016-04-01,Friday,10,1044495.0,1968,nan
50,2016-04-02,Saturday,10,1558926.0,1968,nan
51,2016-04-03,Sunday,10,853174.0,1968,nan
52,2016-04-04,Monday,10,297518.0,1968,nan
53,2016-04-05,Tuesday,10,359187.0,1968,nan
54,2016-04-06,Wednesday,9,307646.0,1968,nan
55,2016-04-07,Thursday,9,294859.0,1968,nan
56,2016-04-08,Friday,11,583919.0,1435,nan
57,2016-04-09,Saturday,11,982852.0,1435,nan
58,2016-04-10,Sunday,12,518519.0,1435,nan
59,2016-04-11,Monday,11,177658.0,1435,nan
60,2016-04-12,Tuesday,12,208583.0,1435,nan
61,2016-04-13,Wednesday,12,170164.0,1435,nan
62,2016-04-14,Thursday,12,146815.0,1435,nan
63,2016-04-15,Friday,15,288799.0,791,nan
64,2016-04-16,Saturday,15,461164.0,791,nan
65,2016-04-17,Sunday,15,224688.0,791,nan
66,2016-04-18,Monday,14,85254.0,791,nan
67,2016-04-19,Tuesday,16,100905.0,791,nan
68,2016-04-20,Wednesday,15,87662.0,791,nan
69,2016-04-21,Thursday,13,90222.0,791,nan
70,2016-04-22,Friday,15,204153.0,594,nan
71,2016-04-23,Saturday,14,317434.0,594,nan
72,2016-04-24,Sunday,15,158931.0,594,nan
73,2016-04-25,Monday,15,66974.0,594,nan
74,2016-04-26,Tuesday,16,75413.0,594,nan
75,2016-04-27,Wednesday,16,64094.0,594,nan
76,2016-04-28,Thursday,16,55433.0,594,nan
77,2016-04-29,Friday,20,119019.0,409,nan
78,2016-04-30,Saturday,18,206322.0,409,nan
79,2016-05-01,Sunday,20,107547.0,409,nan
80,2016-05-02,Monday,20,34475.0,409,nan
81,2016-05-03,Tuesday,21,40178.0,409,nan
82,2016-05-04,Wednesday,21,36247.0,409,nan
83,2016-05-05,Thursday,21,24103.0,409,nan
84,2016-05-06,Friday,18,66779.0,335,nan
85,2016-05-07,Saturday,18,102824.0,335,nan
86,2016-05-08,Sunday,21,68694.0,335,nan
87,2016-05-09,Monday,18,29655.0,335,nan
88,2016-05-10,Tuesday,18,33182.0,335,nan
89,2016-05-11,Wednesday,18,27894.0,335,nan
90,2016-05-12,Thursday,18,26885.0,335,nan
91,2016-05-13,Friday,22,56533.0,262,nan
92,2016-05-14,Saturday,20,90745.0,262,nan
93,2016-05-15,Sunday,24,51638.0,262,nan
94,2016-05-16,Monday,22,19158.0,262,nan
95,2016-05-17,Tuesday,24,22547.0,262,nan
96,2016-05-18,Wednesday,21,20097.0,262,nan
97,2016-05-19,Thursday,21,19277.0,262,nan
98,2016-05-20,Friday,27,35150.0,192,nan
99,2016-05-21,Saturday,27,53195.0,192,nan
100,2016-05-22,Sunday,28,34807.0,192,nan
101,2016-05-23,Monday,25,15674.0,192,nan
102,2016-05-24,Tuesday,26,14665.0,192,nan
