,days,dow,rank,daily,theaters,special events
0,2016-03-25,Friday,1,81558505.0,4242,nan
1,2016-03-26,Saturday,1,50657088.0,4242,nan
2,2016-03-27,Sunday,1,33791754.0,4242,Easter Sunday
3,2016-03-28,Monday,1,15040496.0,4242,nan
4,2016-03-29,Tuesday,1,12180163.0,4242,nan
5,2016-03-30,Wednesday,1,8102420.0,4242,nan
6,2016-03-31,Thursday,1,7742367.0,4242,nan
7,2016-04-01,Friday,1,15014297.0,4256,nan
8,2016-04-02,Saturday,1,22334278.0,4256,nan
9,2016-04-03,Sunday,1,13986679.0,4256,nan
10,2016-04-04,Monday,1,3192415.0,4256,nan
11,2016-04-05,Tuesday,1,4088296.0,4256,nan
12,2016-04-06,Wednesday,1,2840624.0,4256,nan
13,2016-04-07,Thursday,1,2721160.0,4256,nan
14,2016-04-08,Friday,2,6071601.0,4102,nan
15,2016-04-09,Saturday,1,10660730.0,4102,nan
16,2016-04-10,Sunday,1,6630748.0,4102,nan
17,2016-04-11,Monday,2,1474602.0,4102,nan
18,2016-04-12,Tuesday,2,1867311.0,4102,nan
19,2016-04-13,Wednesday,2,1245754.0,4102,nan
20,2016-04-14,Thursday,2,1100442.0,4102,nan
21,2016-04-15,Friday,4,2425772.0,3505,nan
22,2016-04-16,Saturday,4,4082077.0,3505,nan
23,2016-04-17,Sunday,3,2520507.0,3505,nan
24,2016-04-18,Monday,4,650057.0,3505,nan
25,2016-04-19,Tuesday,4,800252.0,3505,nan
26,2016-04-20,Wednesday,4,601091.0,3505,nan
27,2016-04-21,Thursday,4,600117.0,3505,nan
28,2016-04-22,Friday,6,1473012.0,3066,nan
29,2016-04-23,Saturday,6,2490204.0,3066,nan
30,2016-04-24,Sunday,5,1538817.0,3066,nan
31,2016-04-25,Monday,6,434870.0,3066,nan
32,2016-04-26,Tuesday,6,577298.0,3066,nan
33,2016-04-27,Wednesday,6,421440.0,3066,nan
34,2016-04-28,Thursday,6,405349.0,3066,nan
35,2016-04-29,Friday,9,939574.0,2330,nan
36,2016-04-30,Saturday,9,1800414.0,2330,nan
37,2016-05-01,Sunday,8,1129428.0,2330,nan
38,2016-05-02,Monday,7,266139.0,2330,nan
39,2016-05-03,Tuesday,8,335335.0,2330,nan
40,2016-05-04,Wednesday,8,261561.0,2330,nan
41,2016-05-05,Thursday,8,150089.0,2330,nan
42,2016-05-06,Friday,10,303532.0,1593,nan
43,2016-05-07,Saturday,10,457796.0,1593,nan
44,2016-05-08,Sunday,11,289140.0,1593,nan
45,2016-05-09,Monday,9,102922.0,1593,nan
46,2016-05-10,Tuesday,10,125564.0,1593,nan
47,2016-05-11,Wednesday,9,101106.0,1593,nan
48,2016-05-12,Thursday,9,94050.0,1593,nan
49,2016-05-13,Friday,12,138497.0,744,nan
50,2016-05-14,Saturday,13,242258.0,744,nan
51,2016-05-15,Sunday,14,140058.0,744,nan
52,2016-05-16,Monday,13,52222.0,744,nan
53,2016-05-17,Tuesday,14,65277.0,744,nan
54,2016-05-18,Wednesday,14,52221.0,744,nan
55,2016-05-19,Thursday,13,47243.0,744,nan
56,2016-05-20,Friday,22,82871.0,321,nan
57,2016-05-21,Saturday,22,145024.0,321,nan
58,2016-05-22,Sunday,21,82968.0,321,nan
59,2016-05-23,Monday,18,30127.0,321,nan
60,2016-05-24,Tuesday,20,30428.0,321,nan
61,2016-05-25,Wednesday,19,29515.0,321,nan
62,2016-05-26,Thursday,19,25973.0,321,nan
63,2016-05-27,Friday,13,133496.0,361,nan
64,2016-05-28,Saturday,13,201634.0,361,nan
65,2016-05-29,Sunday,13,182576.0,361,nan
66,2016-05-30,Monday,13,117687.0,361,Memorial Day
67,2016-05-31,Tuesday,13,48251.0,361,nan
68,2016-06-01,Wednesday,14,44329.0,361,nan
69,2016-06-02,Thursday,13,47875.0,361,nan
70,2016-06-03,Friday,16,79306.0,270,nan
71,2016-06-04,Saturday,16,125226.0,270,nan
72,2016-06-05,Sunday,16,81646.0,270,nan
73,2016-06-06,Monday,16,35107.0,270,nan
74,2016-06-07,Tuesday,16,40021.0,270,nan
75,2016-06-08,Wednesday,16,34818.0,270,nan
76,2016-06-09,Thursday,15,39344.0,270,nan
77,2016-06-10,Friday,20,53058.0,215,nan
78,2016-06-11,Saturday,20,83883.0,215,nan
79,2016-06-12,Sunday,20,56880.0,215,nan
80,2016-06-13,Monday,18,23320.0,215,nan
81,2016-06-14,Tuesday,19,29620.0,215,nan
82,2016-06-15,Wednesday,19,29027.0,215,nan
83,2016-06-16,Thursday,19,29165.0,215,nan
