,days,dow,rank,daily,theaters,special events
0,2015-06-19,Friday,1,34266177.0,3946,nan
1,2015-06-20,Saturday,2,30942493.0,3946,nan
2,2015-06-21,Sunday,2,25231602.0,3946,nan
3,2015-06-22,Monday,2,10485640.0,3946,nan
4,2015-06-23,Tuesday,2,13038808.0,3946,nan
5,2015-06-24,Wednesday,2,9374850.0,3946,nan
6,2015-06-25,Thursday,1,9477440.0,3946,nan
7,2015-06-26,Friday,1,14986853.0,4132,nan
8,2015-06-27,Saturday,2,21124226.0,4132,nan
9,2015-06-28,Sunday,2,16212275.0,4132,nan
10,2015-06-29,Monday,1,6920675.0,4132,nan
11,2015-06-30,Tuesday,1,8783438.0,4132,nan
12,2015-07-01,Wednesday,3,7491455.0,4132,nan
13,2015-07-02,Thursday,1,7784239.0,4158,nan
14,2015-07-03,Friday,1,12559310.0,4158,nan
15,2015-07-04,Saturday,2,8209548.0,4158,Independence Day
16,2015-07-05,Sunday,1,9002366.0,4158,nan
17,2015-07-06,Monday,1,4954006.0,4158,nan
18,2015-07-07,Tuesday,1,6440373.0,4158,nan
19,2015-07-08,Wednesday,1,5022626.0,4158,nan
20,2015-07-09,Thursday,1,4221904.0,4158,nan
21,2015-07-10,Friday,2,5469256.0,3644,nan
22,2015-07-11,Saturday,3,6957826.0,3644,nan
23,2015-07-12,Sunday,3,5238714.0,3644,nan
24,2015-07-13,Monday,2,2396202.0,3644,nan
25,2015-07-14,Tuesday,2,3294039.0,3644,nan
26,2015-07-15,Wednesday,2,2584048.0,3644,nan
27,2015-07-16,Thursday,2,2232577.0,3644,nan
28,2015-07-17,Friday,4,3373160.0,3263,nan
29,2015-07-18,Saturday,5,4806776.0,3263,nan
30,2015-07-19,Sunday,4,3364144.0,3263,nan
31,2015-07-20,Monday,4,1583304.0,3263,nan
32,2015-07-21,Tuesday,4,2113718.0,3263,nan
33,2015-07-22,Wednesday,4,1528855.0,3263,nan
34,2015-07-23,Thursday,4,1505888.0,3263,nan
35,2015-07-24,Friday,7,2201184.0,2717,nan
36,2015-07-25,Saturday,8,2929820.0,2717,nan
37,2015-07-26,Sunday,7,2283524.0,2717,nan
38,2015-07-27,Monday,7,1151986.0,2717,nan
39,2015-07-28,Tuesday,7,1399588.0,2717,nan
40,2015-07-29,Wednesday,8,1065855.0,2717,nan
41,2015-07-30,Thursday,8,1066124.0,2717,nan
42,2015-07-31,Friday,9,1311816.0,1904,nan
43,2015-08-01,Saturday,8,1810959.0,1904,nan
44,2015-08-02,Sunday,8,1388229.0,1904,nan
45,2015-08-03,Monday,9,800418.0,1904,nan
46,2015-08-04,Tuesday,10,944971.0,1904,nan
47,2015-08-05,Wednesday,11,693610.0,1904,nan
48,2015-08-06,Thursday,9,659255.0,1904,nan
