,days,dow,rank,daily,theaters,special events
0,2019-12-13,Friday,1,19722984.0,4227,nan
1,2019-12-14,Saturday,1,23610586.0,4227,nan
2,2019-12-15,Sunday,1,15917973.0,4227,nan
3,2019-12-16,Monday,1,3585828.0,4227,nan
4,2019-12-17,Tuesday,1,6301757.0,4227,nan
5,2019-12-18,Wednesday,1,3456336.0,4227,nan
6,2019-12-19,Thursday,1,3215901.0,4227,nan
7,2019-12-20,Friday,2,6994656.0,4227,nan
8,2019-12-21,Saturday,2,10119948.0,4227,nan
9,2019-12-22,Sunday,2,9390543.0,4227,nan
10,2019-12-23,Monday,2,7355293.0,4227,nan
11,2019-12-24,Tuesday,2,6784961.0,4227,nan
12,2019-12-25,Wednesday,2,12591780.0,4227,Christmas Day
13,2019-12-26,Thursday,2,11187236.0,4227,nan
14,2019-12-27,Friday,2,11850102.0,4227,nan
15,2019-12-28,Saturday,2,12445964.0,4227,nan
16,2019-12-29,Sunday,2,10953624.0,4227,nan
17,2019-12-30,Monday,2,8327789.0,4227,nan
18,2019-12-31,Tuesday,2,8281275.0,4227,New Year's Eve
19,2020-01-01,Wednesday,2,10909345.0,4227,New Year's Day
20,2020-01-02,Thursday,2,6702524.0,4227,nan
21,2020-01-03,Friday,2,8690304.0,4134,nan
22,2020-01-04,Saturday,2,10819924.0,4134,nan
23,2020-01-05,Sunday,2,6717118.0,4134,nan
24,2020-01-06,Monday,2,2054719.0,4134,nan
25,2020-01-07,Tuesday,2,2516226.0,4134,nan
26,2020-01-08,Wednesday,3,1386481.0,4134,nan
27,2020-01-09,Thursday,3,1233804.0,4134,nan
28,2020-01-10,Friday,5,3346991.0,3904,nan
29,2020-01-11,Saturday,3,6498816.0,3904,nan
30,2020-01-12,Sunday,3,4159324.0,3904,nan
31,2020-01-13,Monday,4,770147.0,3904,nan
32,2020-01-14,Tuesday,3,1455094.0,3904,nan
33,2020-01-15,Wednesday,5,830281.0,3904,nan
34,2020-01-16,Thursday,5,727341.0,3904,nan
35,2020-01-17,Friday,4,2180734.0,3323,nan
36,2020-01-18,Saturday,4,4155692.0,3323,nan
37,2020-01-19,Sunday,4,3363917.0,3323,nan
38,2020-01-20,Monday,4,2960468.0,3323,MLK Day
39,2020-01-21,Tuesday,5,951209.0,3323,nan
40,2020-01-22,Wednesday,7,510737.0,3323,nan
41,2020-01-23,Thursday,6,510068.0,3323,nan
42,2020-01-24,Friday,6,1718994.0,3121,nan
43,2020-01-25,Saturday,5,3733636.0,3121,nan
44,2020-01-26,Sunday,5,2247896.0,3121,nan
45,2020-01-27,Monday,6,435938.0,3121,nan
46,2020-01-28,Tuesday,6,701162.0,3121,nan
47,2020-01-29,Wednesday,7,406570.0,3121,nan
48,2020-01-30,Thursday,6,427157.0,3121,nan
49,2020-01-31,Friday,6,1521447.0,2945,nan
50,2020-02-01,Saturday,4,3290002.0,2945,nan
51,2020-02-02,Sunday,4,1188732.0,2945,nan
52,2020-02-03,Monday,6,368491.0,2945,nan
53,2020-02-04,Tuesday,6,621027.0,2945,nan
54,2020-02-05,Wednesday,7,355635.0,2945,nan
55,2020-02-06,Thursday,5,367924.0,2945,nan
56,2020-02-07,Friday,5,1246451.0,2729,nan
57,2020-02-08,Saturday,5,2726870.0,2729,nan
58,2020-02-09,Sunday,5,1583358.0,2729,nan
59,2020-02-10,Monday,6,340371.0,2729,nan
60,2020-02-11,Tuesday,7,501652.0,2729,nan
61,2020-02-12,Wednesday,6,350779.0,2729,nan
62,2020-02-13,Thursday,7,336394.0,2729,nan
63,2020-02-14,Friday,8,1878924.0,2729,nan
64,2020-02-15,Saturday,8,2089947.0,2729,nan
65,2020-02-16,Sunday,8,1578613.0,2729,nan
66,2020-02-17,Monday,7,1254204.0,2729,Presidents' Day
67,2020-02-18,Tuesday,9,510796.0,2729,nan
68,2020-02-19,Wednesday,8,326791.0,2729,nan
69,2020-02-20,Thursday,8,308862.0,2729,nan
70,2020-02-21,Friday,11,748049.0,2126,nan
71,2020-02-22,Saturday,8,1372839.0,2126,nan
72,2020-02-23,Sunday,9,754414.0,2126,nan
73,2020-02-24,Monday,10,169304.0,2126,nan
74,2020-02-25,Tuesday,10,272095.0,2126,nan
75,2020-02-26,Wednesday,11,162834.0,2126,nan
76,2020-02-27,Thursday,11,161952.0,2126,nan
77,2020-02-28,Friday,11,497283.0,1811,nan
78,2020-02-29,Saturday,11,1060531.0,1811,nan
79,2020-03-01,Sunday,10,623428.0,1811,nan
80,2020-03-02,Monday,11,156662.0,1811,nan
81,2020-03-03,Tuesday,11,260505.0,1811,nan
82,2020-03-04,Wednesday,10,168936.0,1811,nan
83,2020-03-05,Thursday,10,158339.0,1811,nan
84,2020-03-06,Friday,13,336904.0,1403,nan
85,2020-03-07,Saturday,11,641932.0,1403,nan
86,2020-03-08,Sunday,11,344318.0,1403,nan
87,2020-03-09,Monday,13,116978.0,1403,nan
88,2020-03-10,Tuesday,12,175269.0,1403,nan
89,2020-03-11,Wednesday,12,120963.0,1403,nan
90,2020-03-12,Thursday,12,94446.0,1403,COVID-19 Pandemic
91,2020-03-13,Friday,13,117773.0,862,COVID-19 Pandemic
92,2020-03-14,Saturday,12,194685.0,862,COVID-19 Pandemic
93,2020-03-15,Sunday,12,108941.0,862,COVID-19 Pandemic
94,2020-03-16,Monday,13,35511.0,862,COVID-19 Pandemic
95,2020-03-17,Tuesday,14,8554.0,862,COVID-19 Pandemic
96,2020-03-18,Wednesday,13,2604.0,862,COVID-19 Pandemic
97,2020-03-19,Thursday,13,774.0,862,COVID-19 Pandemic
