,days,dow,rank,daily,theaters,special events
0,2015-11-06,Friday,1,27434579.0,3929,nan
1,2015-11-07,Saturday,1,26283806.0,3929,nan
2,2015-11-08,Sunday,1,16684763.0,3929,nan
3,2015-11-09,Monday,1,5316879.0,3929,nan
4,2015-11-10,Tuesday,1,7321682.0,3929,nan
5,2015-11-11,Wednesday,1,7915302.0,3929,nan
6,2015-11-12,Thursday,1,4343170.0,3929,nan
7,2015-11-13,Friday,1,10115954.0,3929,nan
8,2015-11-14,Saturday,1,15072303.0,3929,nan
9,2015-11-15,Sunday,1,8492847.0,3929,nan
10,2015-11-16,Monday,1,2430554.0,3929,nan
11,2015-11-17,Tuesday,1,3247692.0,3929,nan
12,2015-11-18,Wednesday,1,2383058.0,3929,nan
13,2015-11-19,Thursday,1,2060290.0,3929,nan
14,2015-11-20,Friday,2,4272250.0,3659,nan
15,2015-11-21,Saturday,2,6553124.0,3659,nan
16,2015-11-22,Sunday,2,4218355.0,3659,nan
17,2015-11-23,Monday,3,1569451.0,3659,nan
18,2015-11-24,Tuesday,3,2185908.0,3659,nan
19,2015-11-25,Wednesday,4,2658212.0,3659,nan
20,2015-11-26,Thursday,4,2677228.0,3659,Thanksgiving
21,2015-11-27,Friday,4,5255596.0,2940,nan
22,2015-11-28,Saturday,4,5085225.0,2940,nan
23,2015-11-29,Sunday,4,2546951.0,2940,nan
24,2015-11-30,Monday,4,712078.0,2940,nan
25,2015-12-01,Tuesday,4,894862.0,2940,nan
26,2015-12-02,Wednesday,4,684100.0,2940,nan
27,2015-12-03,Thursday,4,679124.0,2940,nan
28,2015-12-04,Friday,5,1608535.0,2840,nan
29,2015-12-05,Saturday,5,2512349.0,2840,nan
30,2015-12-06,Sunday,5,1402474.0,2840,nan
31,2015-12-07,Monday,6,474007.0,2840,nan
32,2015-12-08,Tuesday,6,652350.0,2840,nan
33,2015-12-09,Wednesday,6,513513.0,2840,nan
34,2015-12-10,Thursday,6,509089.0,2840,nan
35,2015-12-11,Friday,7,1117510.0,2640,nan
36,2015-12-12,Saturday,6,1851228.0,2640,nan
37,2015-12-13,Sunday,7,1076371.0,2640,nan
38,2015-12-14,Monday,7,408698.0,2640,nan
39,2015-12-15,Tuesday,7,517372.0,2640,nan
40,2015-12-16,Wednesday,7,441360.0,2640,nan
41,2015-12-17,Thursday,6,295933.0,2640,nan
42,2015-12-18,Friday,11,357348.0,1225,nan
43,2015-12-19,Saturday,12,613495.0,1225,nan
44,2015-12-20,Sunday,11,463114.0,1225,nan
45,2015-12-21,Monday,9,347267.0,1225,nan
