,days,dow,rank,daily,theaters,special events
0,2016-08-05,Friday,1,64893248.0,4255,Rio Olympics
1,2016-08-06,Saturday,1,38578832.0,4255,Rio Olympics
2,2016-08-07,Sunday,1,30210168.0,4255,Rio Olympics
3,2016-08-08,Monday,1,13143474.0,4255,Rio Olympics
4,2016-08-09,Tuesday,1,14261461.0,4255,Rio Olympics
5,2016-08-10,Wednesday,1,9815378.0,4255,Rio Olympics
6,2016-08-11,Thursday,1,8202167.0,4255,Rio Olympics
7,2016-08-12,Friday,2,13103794.0,4255,Rio Olympics
8,2016-08-13,Saturday,1,17530577.0,4255,Rio Olympics
9,2016-08-14,Sunday,1,12901642.0,4255,Rio Olympics
10,2016-08-15,Monday,1,5003280.0,4255,Rio Olympics
11,2016-08-16,Tuesday,1,6233298.0,4255,Rio Olympics
12,2016-08-17,Wednesday,1,4125332.0,4255,Rio Olympics
13,2016-08-18,Thursday,1,3570684.0,4255,Rio Olympics
14,2016-08-19,Friday,1,6008693.0,3924,Rio Olympics
15,2016-08-20,Saturday,1,8646691.0,3924,Rio Olympics
16,2016-08-21,Sunday,1,6200017.0,3924,Rio Olympics
17,2016-08-22,Monday,1,2135015.0,3924,nan
18,2016-08-23,Tuesday,1,2691263.0,3924,nan
19,2016-08-24,Wednesday,1,1827395.0,3924,nan
20,2016-08-25,Thursday,1,1690218.0,3924,nan
21,2016-08-26,Friday,2,3309941.0,3582,nan
22,2016-08-27,Saturday,2,5487910.0,3582,nan
23,2016-08-28,Sunday,2,3450588.0,3582,nan
24,2016-08-29,Monday,2,1061144.0,3582,nan
25,2016-08-30,Tuesday,2,1380335.0,3582,nan
26,2016-08-31,Wednesday,2,954664.0,3582,nan
27,2016-09-01,Thursday,2,1000107.0,3292,nan
28,2016-09-02,Friday,2,2316150.0,3292,nan
29,2016-09-03,Saturday,2,3830182.0,3292,nan
30,2016-09-04,Sunday,2,3763924.0,3292,nan
31,2016-09-05,Monday,2,2776765.0,3292,Labor Day
32,2016-09-06,Tuesday,2,708166.0,3292,nan
33,2016-09-07,Wednesday,2,500309.0,3292,nan
34,2016-09-08,Thursday,2,445041.0,3292,nan
35,2016-09-09,Friday,4,1451454.0,3103,nan
36,2016-09-10,Saturday,4,2779675.0,3103,nan
37,2016-09-11,Sunday,4,1491909.0,3103,nan
38,2016-09-12,Monday,4,378625.0,3103,nan
39,2016-09-13,Tuesday,4,504354.0,3103,nan
40,2016-09-14,Wednesday,4,358066.0,3103,nan
41,2016-09-15,Thursday,4,350396.0,3103,nan
42,2016-09-16,Friday,7,1192098.0,2740,nan
43,2016-09-17,Saturday,7,2257013.0,2740,nan
44,2016-09-18,Sunday,6,1252723.0,2740,nan
45,2016-09-19,Monday,7,305180.0,2740,nan
46,2016-09-20,Tuesday,8,396134.0,2740,nan
47,2016-09-21,Wednesday,7,294665.0,2740,nan
48,2016-09-22,Thursday,7,253198.0,2740,nan
49,2016-09-23,Friday,8,805132.0,2172,nan
50,2016-09-24,Saturday,8,1492109.0,2172,nan
51,2016-09-25,Sunday,8,811110.0,2172,nan
52,2016-09-26,Monday,8,200102.0,2172,nan
53,2016-09-27,Tuesday,8,253061.0,2172,nan
54,2016-09-28,Wednesday,8,194419.0,2172,nan
55,2016-09-29,Thursday,8,161353.0,2172,nan
56,2016-09-30,Friday,11,490081.0,1638,nan
57,2016-10-01,Saturday,10,917149.0,1638,nan
58,2016-10-02,Sunday,11,510053.0,1638,nan
59,2016-10-03,Monday,11,162362.0,1638,nan
60,2016-10-04,Tuesday,12,161295.0,1638,nan
61,2016-10-05,Wednesday,12,127230.0,1638,nan
62,2016-10-06,Thursday,12,115125.0,1638,nan
63,2016-10-07,Friday,12,298538.0,972,nan
64,2016-10-08,Saturday,12,497827.0,972,nan
65,2016-10-09,Sunday,12,327275.0,972,nan
66,2016-10-10,Monday,12,150181.0,972,Indig. Peoples' Day
67,2016-10-11,Tuesday,15,102410.0,972,nan
68,2016-10-12,Wednesday,14,91157.0,972,nan
69,2016-10-13,Thursday,15,69367.0,972,nan
70,2016-10-14,Friday,17,186196.0,630,nan
71,2016-10-15,Saturday,15,333880.0,630,nan
72,2016-10-16,Sunday,15,195997.0,630,nan
73,2016-10-17,Monday,16,54980.0,630,nan
74,2016-10-18,Tuesday,18,57344.0,630,nan
75,2016-10-19,Wednesday,16,48442.0,630,nan
76,2016-10-20,Thursday,15,48445.0,630,nan
77,2016-10-21,Friday,20,105837.0,383,nan
78,2016-10-22,Saturday,19,174223.0,383,nan
79,2016-10-23,Sunday,21,105151.0,383,nan
80,2016-10-24,Monday,20,31100.0,383,nan
81,2016-10-25,Tuesday,22,31688.0,383,nan
82,2016-10-26,Wednesday,22,27168.0,383,nan
83,2016-10-27,Thursday,21,29422.0,383,nan
84,2016-10-28,Friday,21,75074.0,332,nan
85,2016-10-29,Saturday,20,125701.0,332,nan
86,2016-10-30,Sunday,21,81864.0,332,nan
87,2016-10-31,Monday,22,27015.0,332,Halloween
88,2016-11-01,Tuesday,22,27876.0,332,nan
89,2016-11-02,Wednesday,21,24213.0,332,nan
90,2016-11-03,Thursday,21,23121.0,332,nan
91,2016-11-04,Friday,23,62830.0,245,nan
92,2016-11-05,Saturday,22,118121.0,245,nan
93,2016-11-06,Sunday,23,65412.0,245,nan
94,2016-11-07,Monday,24,18114.0,245,nan
95,2016-11-08,Tuesday,23,21237.0,245,nan
96,2016-11-09,Wednesday,24,15710.0,245,nan
97,2016-11-10,Thursday,22,23214.0,245,nan
